0install|zero-install
0mq|zeromq
2ms|two-ms
2ping|twoping
3mux|threemux
4store|fourstore
64tass|tass64
6tunnel|sixtunnel
7-zip|sevenzip
7zip|sevenzip
actor-framework|caf
ag|the_silver_searcher
alut|freealut
ansible@13|ansible
ant@1.10|ant
apache-activemq|activemq
apache-flink@2|apache-flink
apache-fop|fop
apache-httpd|httpd
apache2|httpd
arpack-ng|arpack
assimp@6|assimp
atkmm@2.36|atkmm
autoconf@2.73|autoconf
awscli@2|awscli
awsebcli|aws-elasticbeanstalk
azd|azure-dev
az|azure-cli
bal|ballerina
bash-completion@1|bash-completion
basisu|basis_universal
bats|bats-core
bazel@9|bazel
berkeley-db@18|berkeley-db
bison@3.8|bison
bjam|boost-build
boehmgc|bdw-gc
boost-jam|boost-build
boost@1.90|boost
boot2docker-cli|docker-machine
botan@3|botan
brz|breezy
cairomm@1.18|cairomm
cassandra@5.0|cassandra
ck|concurrencykit
clang-format@22|clang-format
clasp|clingo
conan@2|conan
cowthink|cowsay
cpanm|cpanminus
crypto++|cryptopp
ctags-exuberant|ctags
db|berkeley-db
dejagnu|deja-gnu
delta|git-delta
dlv|delve
dotnet@10|dotnet
dupeseek|dupseek
eigen@5|eigen
elan|elan-init
erlang@28|erlang
faas|faas-cli
fastcgi|fcgi
ffmpeg@8|ffmpeg
file|file-formula
fishfish|fish
fltk@1.4|fltk
fluidsynth|fluid-synth
freetype2|freetype
gcc@15|gcc
gdrive@3|gdrive
gearmand|gearman
gfortran|gcc
ghc@9.14|ghc
ghc@9|ghc
git-tig|tig
glbinding@3|glbinding
glibc@2.39|glibc
glibmm@2.88|glibmm
gnu-scientific-library|gsl
gnupg@2.5|gnupg
go-feature-flag|go-feature-flag-relay-proxy
go@1.26|go
golang|go
google-go|go
gpg1|gnupg@1.4
gpg2|gnupg
gpg|gnupg
gradle@9|gradle
gringo|clingo
grpc@1.78|grpc
gsed|gnu-sed
gs|ghostscript
gtk|gtk+
gtypist|gnu-typist
guile@3|guile
haproxy@3.3|haproxy
hashdeep|md5deep
hdf5@2.1|hdf5
helm@4|helm
hg|mercurial
hudson|jenkins
hx|helix
icu4c|icu4c@78
imagemagick@7|imagemagick
influxdb@3|influxdb
ipsum|lorem
isl@0.27|isl
iwyu|include-what-you-use
java11|openjdk@11
java|openjdk
jocr|gocr
jujutsu|jj
kk|kubekey
kubectl|kubernetes-cli
kubernetes-cli@1.35|kubernetes-cli
lcms2|little-cms2
leg|peg
libassuan@3|libassuan
libcouchbase@3|libcouchbase
libdwarf|dwarfutils
libfuse@3|libfuse
libgc|bdw-gc
libgd|gd
libgit2@1.9|libgit2
libglu|mesa-glu
libgme|game-music-emu
libjpeg-turbo|jpeg-turbo
libjpeg|jpeg
libjpg|jpeg
liblabjackusb|exodriver
libmad|mad
libmongoc|mongo-c-driver
libmpdec|mpdecimal
libnettle|nettle
liboggz|oggz
libpeas@2|libpeas
libpq@18|libpq
libqrencode|qrencode
libsigc++@3|libsigc++
libsoup@3|libsoup
libspelling@0.4|libspelling
libtag|taglib
libtasn|libtasn1
libtcnative|tomcat-native
libtree-sitter|tree-sitter
libvips|vips
libxml++@2|libxml++
lightningd|core-lightning
linux-headers|linux-headers@6.8
lld@22|lld
llvm@22|llvm
lua@5.5|lua
lukemftpd|tnftpd
lukemftp|tnftp
mariadb@12.2|mariadb
mathcomp|math-comp
mbedtls@4|mbedtls
mc|midnight-commander
mdocml|mandoc
mediainfo|media-info
mongo-c-driver@2|mongo-c-driver
mongodb-atlas|mongodb-atlas-cli
mp4box|gpac
msgpack-cpp|msgpack-cxx
msgpack-c|msgpack
mvn|maven
myrepos|mr
mysql-client@9.6|mysql-client
mysql@9.6|mysql
node.js|node
node@25|node
nodejs|node
npm|node
nsis|makensis
nvim|neovim
nvr|neovim-remote
o-caml|ocaml
o-make|omake
observer_ward|observerward
ocaml@5|ocaml
ocio|opencolorio
onetbb|tbb
opencv@4|opencv
openexr@3|openexr
openjdk@25|openjdk
openmpi|open-mpi
openocd|open-ocd
openscenegraph|open-scene-graph
openssl@3.6|openssl@3
openssl|openssl@3
pangomm@2.56|pangomm
pcre1|pcre
percona-server@8.4|percona-server
percona-xtrabackup@8.4|percona-xtrabackup
perl6|rakudo-star
perl@5.42|perl
pgrep|proctools
php@8.5|php
phrase|phrase-cli
phylum|phylum-cli
pipeviewer|pv
pkg-config|pkgconf
pkgconfig|pkgconf
pkill|proctools
pnpm@10|pnpm
pocketsphinx|cmu-pocketsphinx
postgresql|postgresql@18
postgres|postgresql@18
procps@4|procps
proj@9|proj
protobuf@3.20|protobuf@3
protobuf@34|protobuf
pt|the_platinum_searcher
pylsp|python-lsp-server
pypy3|pypy3.10
pyqt@6|pyqt
pyside@6|pyside
python-gdbm|python-gdbm@3.14
python-tk|python-tk@3.14
python3|python@3.14
python@3|python@3.14
python|python@3.14
pzstd|zstd
qt6|qt
qt@6|qt
redis@8.6|redis
rga|ripgrep-all
rg|ripgrep
rich|rich-cli
rtl-sdr|librtlsdr
ruby@3|ruby@3.4
ruby@4.0|ruby
ruby@4|ruby
sbt@1|sbt
scala@3|scala
sem|schema-evolution-manager
sfml@3|sfml
skaffold@2.18|skaffold
slang|s-lang
solr@10.0|solr
sphinx|sphinx-doc
spidermonkey@140|spidermonkey
sqlite3|sqlite
stack|haskell-stack
stripe|stripe-cli
style|diction
suitesparse|suite-sparse
supervisord|supervisor
svn|subversion
swagger-codegen@3|swagger-codegen
synergy|synergy-core
task@3|task
tcl-tk@9|tcl-tk
thrift@0.22|thrift
tiv|terminalimageviewer
tomcat@11|tomcat
traefik@3|traefik
tree-sitter@0.26|tree-sitter
tsc|typescript
twemproxy|nutcracker
twolame|two-lame
ucm|unisonlang
unix2dos|dos2unix
usb-multiplex-daemon|libusbmuxd
vid.stab|libvidstab
vimcat|vimpager
wamr|wasm-micro-runtime
wxwidgets@3.3|wxwidgets
xmlsec1|libxmlsec1
yubikey-personalization|ykpers
zig@0.15|zig
zmq|zeromq
zsh-completion|zsh-completions
